material_id,formula,density,elements,band_gap,crystal_system,crystal_code,pages,refractive_index
mp-570459,Te,6.480408000853202,Te,0.0,Monoclinic,6,"['Caldwell-e', 'Caldwell-o', 'Ciesielski', 'Guo-e', 'Guo-o', 'Sherman-e', 'Sherman-o']",2.937
mp-632329,C,2.028127120496463,C,0.0,Monoclinic,6,"['Arakawa', 'Djurisic-e', 'Djurisic-o', 'Dore', 'El-Sayed', 'Ermolaev-SWCNT-e', 'Ermolaev-SWCNT-o', 'Ermolaev', 'Hagemann', 'Larruquert', 'Peter', 'Phillip', 'Querry-Asbury3222', 'Querry-AsburyMicro260', 'Querry-Dixon1102', 'Querry-Dixon200-10', 'Querry-DixonHPN2', 'Querry-DixonKS2', 'Querry-Pyrolytic', 'Song-Arc', 'Song-cHOPG-e', 'Song-cHOPG-o', 'Song-HiPco', 'Song-sHOPG-e', 'Song-sHOPG-o', 'Song', 'Taylor', 'Tikuisis', 'Weber']",2.274911838790932
mp-1096992,Hg,9.562361874033742,Hg,0.0,Tetragonal,2,['Inagaki'],1.3008964469048818
mp-1056027,K,0.147765864303913,K,0.0,Tetragonal,2,"['Althoff', 'Ives', 'Monin', 'Smith', 'Sutherland', 'Whang']",0.10353853127833182
mp-1056059,O2,2.7601506147264443,O,0.0,Tetragonal,2,"['Smith', 'Zhang']",1.0002541288257703
mp-1096977,H2,0.243145360447659,H,0.0,Tetragonal,2,"['Koch', 'Peck', 'Smith']",1.0001403992
mp-1065697,O2,3.108411208806346,O,0.0,Tetragonal,2,"['Smith', 'Zhang']",1.0002541288257703
mp-1180991,K,0.7556247505047311,K,0.0,Tetragonal,2,"['Althoff', 'Ives', 'Monin', 'Smith', 'Sutherland', 'Whang']",0.10353853127833182
mp-1227541,Ca,0.227627571825722,Ca,0.0,Tetragonal,2,"['Mathewson', 'Rodriguez-de Marcos']",0.28448958498023713
mp-1076923,Ta,0.9803518600824572,Ta,0.0,Tetragonal,2,"['Ordal', 'Werner-DFT', 'Werner', 'Windt']",2.8792711091753778
mp-1180036,O2,2.20222026122151,O,0.464299999999999,Monoclinic,6,"['Smith', 'Zhang']",1.0002541288257703
mp-1190217,Mo,9.173278605225205,Mo,0.0,Monoclinic,6,"['Kirillova', 'Ordal', 'Querry', 'Werner-DFT', 'Werner', 'Windt']",3.15
